id,source,srcLvel,relationship,target,tarLvel,diff,platform
23,Me,1,through,SMS Text,2,1,SMS Text
23,Me,1,through,Instagram,2,1,Instagram
23,Me,1,through,Email,2,1,Email
23,WhatsApp,2,with,Family,3,1,WhatsApp
23,SMS Text,2,with,Partner,3,1,SMS Text
23,Instagram,2,what,"Work, projects",4,2,Instagram
23,Instagram,2,with,"Work, projects",4,1,Instagram
23,Family,3,what,Everyday activities,4,1,WhatsApp
24,Me,1,through,WhatsApp,2,1,WhatsApp
24,Me,1,through,Email,2,1,Email
24,WhatsApp,2,with,Children,3,1,WhatsApp
24,WhatsApp,2,with,Family,3,1,WhatsApp
24,WhatsApp,2,with,Overseas friends,3,1,WhatsApp
24,Email,2,what,Note-taking,4,2,Email
24,Email,2,with,Note-taking,4,1,Email
24,Children,3,what,Shared experience,4,1,WhatsApp
25,Me,1,through,SMS Text,2,1,SMS Text
25,Me,1,through,Email,2,1,Email
25,Me,1,through,WhatsApp,2,1,WhatsApp
25,Me,1,through,Instagram,2,1,Instagram
25,WhatsApp,2,with,Friends,3,1,WhatsApp
25,Instagram,2,with,Children,3,1,Instagram
25,SMS Text,2,what,Shared experience,4,2,SMS Text
25,SMS Text,2,what,Old photos,4,2,SMS Text
25,Email,2,what,Note-taking,4,2,Email
25,SMS Text,2,with,Shared experience,4,1,SMS Text
25,SMS Text,2,with,Old photos,4,1,SMS Text
25,Email,2,with,Note-taking,4,1,Email
25,Friends,3,what,Social photos,4,1,WhatsApp
25,Friends,3,what,Scenery,4,1,WhatsApp
26,Me,1,through,WhatsApp,2,1,WhatsApp
26,Me,1,through,SMS Text,2,1,SMS Text
26,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
26,Me,1,through,Instagram,2,1,Instagram
26,Me,1,through,Print,2,1,Print
